IKEA Granollers;Av. Francesc Macià nº160 loc-2, Granollers;Punto de recogida IKEA;Abierto hasta las 21:00;
IKEA A Coruña;Carretera Baños de Arteixo 45 A Grela, A Coruña;Tienda IKEA;Abierto hasta las 21:00;
IKEA Albacete - Punto de planificación (CC Albacenter);C. del Alcalde Conangla, s/n, primera planta, Albacete;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Alcorcón;Polígono El Lucero, C. Ejército de Tierra 1, Alcorcón (Madrid);Tienda IKEA;Abierto hasta las 22:00;
Punto de recogida Algeciras;Polígono las Pilas nave 10, Algeciras;Punto de recogida IKEA;Abierto hoy 10:00 - 14:00, 16:00 - 19:00;
IKEA Alicante - Espacio de planificación (CC Gran Vía);Centro Comercial Gran Vía, C. José García Sellés, 2, Alicante;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Almería - La Rambla;Calle José Manuel Gómez Angulo, Almería;Tienda IKEA;Abierto hasta las 21:00;
IKEA Asturias;Centro Comercial Parque Principado, A-66 KM 4.5, Pola de Siero (Asturias);Tienda IKEA;Abierto hasta las 22:00;
IKEA Badajoz - Espacio de planificación;Centro Comercial El Faro, Av. de Elvas, s/n, Badajoz;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Badalona;Polígono Montigalá, Carrer de Luxemburg S/N, Badalona (Barcelona);Tienda IKEA;Abierto hasta las 21:00;
IKEA Barakaldo;Parque Comercial Megapark, Erribera Etorbidea 7, Barakaldo (Bilbao);Tienda IKEA;Abierto hasta las 22:00;
IKEA Benidorm - Espacio de planificación (CC La Marina);Avenida del Pais Valencia, Finestrat;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Bilbao - Espacio de planificación;Leizaola Lehendakariaren kalea 2, Bilbao;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Burgos-Espacio de planificación;Ctra. Santander, km 2, Burgos;Punto de pedido y planificación IKEA;Abierto hasta las 21:30;
IKEA Cáceres - Espacio de planifiación;Calle de Londres 1, Cáceres;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Cádiz Algeciras PTA EUR;Autovía del Mediterráneo, 106, Algeciras;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Cartagena - Espacio de planificación (CC Espacio Mediterráneo);Parque Mediterráneo, Polígono Industrial Cabezo Beaza, 1º Planta, Local 2.42, 30353 Cartagena, Murcia, España, Cartagena;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Castellon Salera;Av. Enrique Gimeno, 82, Castellón de la Plana;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Ciudad Real - Espacio de Planificación;Centro Comercial El Parque Av. de Europa 45, Ciudad Real;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Córdoba - Espacio de planificación;Centro Comercial La Sierra Calle Poeta Emilio Prados S/N, Cordoba;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Denia Ondara;Avenida Costa Blanca 1 Centro Comercial Portal de La Marina, Ondara;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Diagonal;Av. Diagonal 532, Barcelona;Tienda IKEA;Abierto hasta las 21:00;
IKEA Diseña Girona - Espacio de planificación;Calle Joan Maragall, 21, Girona;Punto de pedido y planificación IKEA;Abierto hasta las 21:00;
IKEA Diseña Tarragona;Centro Comercial Parc Central, Avinguda Vidal i Barraquer, 15-17, Tarragona;Punto de pedido y planificación IKEA;Abierto hasta las 21:00;
IKEA Donostia- San Sebastián- Espacio de planificación;Garbera Zeharbidea 1, Donostia-San Sebastián;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Dos Hermanas - Espacio de planificación;CC Way, Av. Ing. José Luis Prats, nº 3-4, local 2.14, Dos Hermanas;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Ensanche de Vallecas;Centro Comercial La Gavia, Calle Alto del Retiro 33, Madrid;Tienda IKEA;Abierto hasta las 22:00;
IKEA Fuencarral- Espacio de Planificación;calle Fuencarral 140, Madrid, Madrid;Punto de pedido y planificación IKEA;Abierto hasta las 21:00;
IKEA Gijón Los Fresnos;Centro Comercial los Fresnos. C. Rio de oro,3, Planta -1, Gijon;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Glories;Av. Diagonal, 208, C.C. Glòries Nivel -1, Barcelona;Tienda IKEA;Abierto hasta las 21:00;
IKEA Goya Tienda Urbana (Madrid);Calle Goya 47, Madrid;Tienda IKEA;Abierto hasta las 21:00;
IKEA Granada;Av de Palmeras 75, Granada;Tienda IKEA;Abierto hasta las 22:00;
IKEA Granada Punto de recogida;Planta Sótano C.C. Nevada Shopping junto a Mercadona Av. de las Palmeras, 75, 18100 Armilla, Granada, España, Granada;Punto de recogida IKEA;Abierto hasta las 21:30;
IKEA Hospitalet (Gran Vía);Districte Econòmic, Avinguda de la Granvia de l’Hospitalet 115-133, L'Hospitalet de Llobregat;Tienda IKEA;Abierto hasta las 21:00;
IKEA HSP Ponferrada;Av. de la Constitución, 2, Ponferrada;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Huelva - Espacio de planificación;Ronda Exterior Zona Sur, s/n, (Centro Comercial Holea), Huelva;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Irún - Espacio de planificación;Almirante Arizmendi Kalea, 9, Irún;Punto de pedido y planificación IKEA;Abierto hasta las 21:00;
IKEA Jerez;Avenida Escandinavia S/N, Jerez de la Frontera (Cádiz);Tienda IKEA;Abierto hasta las 22:00;
IKEA La Vaguada;Avenida de Monforte de Lemos 36, Madrid;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA La Zenia - Espacio de planificación (CC Zenia Boulevard);Calle Jade 2 Centro Comercial Zenia Boulevard, La Zenia;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Las Rozas Tienda Urbana (Madrid);Calle Cabo de Rufino Lazaro num. 2, Las Rozas- Madrid;Tienda IKEA;Abierto hasta las 21:00;
IKEA Leganés;CC Paque Sur Av de Gran Bretaña /sn, Leganés - Madrid;Tienda IKEA;Abierto hasta las 22:00;
IKEA León - CC Espacio León;Av. País Leonés, 12, León;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Lleida - Estudio de Planificación;Carrer de Pi i Margall 3, Lleida;Punto de pedido y planificación IKEA;Abierto hasta las 20:30;
IKEA Logroño- Espacio de planificación;C. Lérida, 1, Logroño;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Málaga;Avenida Velázquez 389, Málaga;Tienda IKEA;Abierto hasta las 22:00;
IKEA Marbella Espacio de planificación;Carretera de Ojén S/N La Cañada Shopping Center, Planta Alta, 29600 Marbella, Málaga, España, Marbella;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Marbella Punto de recogida;CC La Cañada, Crtra. De Ojén S/N, Planta Exterior Trasera, Almacén B6, 29600 Marbella, Marbella;Punto de recogida IKEA;Abierto hasta las 21:00;
IKEA Murcia;Avenida Don Juan de Borbon s/n, Murcia;Tienda IKEA;Abierto hasta las 22:00;
IKEA Ourense - Espacio de planificación;Rúa do progreso 76A, local 3, Ourense;Punto de pedido y planificación IKEA;Abierto hasta las 21:00;
IKEA Pamplona - Tienda urbana;Calle T, Parque Comercial Galaria / La Morea, 3, Cordovilla;Punto de recogida IKEA;Abierto hasta las 21:00;
IKEA Sabadell;Carrer Serra dels Galliners 70, Sabadell (Barcelona);Tienda IKEA;Abierto hasta las 21:00;
IKEA Salamanca - Espacio de planificación;CC El Tormes.Av Salamanca,S/N, Salamanca;Punto de pedido y planificación IKEA;Abierto hasta las 21:30;
IKEA San Sebastián de los Reyes;Parque Comercial Mega Park, Plaza del Comercio S/N, San Sebastian de los Reyes (Madrid);Tienda IKEA;Abierto hasta las 22:00;
IKEA Sant Pere Roquetes;Parc d'Oci, Rambla del Garraf, S/N, 08812 Les Roquetes, Barcelona, Spain, Barcelona;Punto de pedido y planificación IKEA;Abierto hasta las 21:00;
IKEA Santander;El Alisal, C/ Joaquín Rodrigo, 10, Santander;Punto de pedido y planificación IKEA;Abierto hasta las 21:30;
IKEA Santiago - Espacio de planificación;Avenida Do Camiño Francés 3 Centro Comercial As Cancelas, Santiago De Compostela;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
IKEA Segovia-Espacio de planificación;Calle de Guadarrama CC Luz de Castilla, Polígono Industrial El Cerro S/N, Segovia;Punto de pedido y planificación IKEA;Abierto hasta las 21:30;
IKEA Sevilla;Autovía Sevilla-Huelva (Salida 2), Castilleja de la Cuesta (Sevilla);Tienda IKEA;Abierto hasta las 22:00;
IKEA Toledo - Espacio de Planificación;Parque comercial La Abadía CM-4003, s/n, Toledo;Punto de pedido y planificación IKEA;Abierto hasta las 22:00;
